,Pair,Token0 Symbol,Token0 Underlying Address,Token0 Underlying Decimals,Token0 imxB Address,Token1 Symbol,Token1 Underlying Address,Token1 Underlying Decimals,Token1 imxB Address
58,WETH-AAVE,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x767E32accedf27e8eB66e08Fa520E72a19D48dd6,AAVE,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,18.0,0x674a41DC6e3FB69C0F64049394D25937aD407E90
59,WETH-DAI,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xE3d479168d249B8B4488487715ff7d1B169660C3,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,18.0,0x51BE2DF2EaeCcEaa2DE304047567FC8c89A8dF4A
60,miMATIC-USDT,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,18.0,0x05ab5067f90E315c7edBb48328f03daA4F59D8Cc,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,6.0,0x0065A0effbb58e4BeB2f3A40fDcA740F85585213
61,QI-WETH,QI,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,18.0,0x199c302AFEC0504557668981Af7DcB03Fb967B1D,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xE5D38FeAf823f8c97CA87B02bc21CCc37ec7FDeb
62,DAI-miMATIC,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,18.0,0x050438De4145341F56D69caD8BB4323044a1d361,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,18.0,0x2bBB98FB2a0D9D86b79506Ef7A1EEA456345F97f
63,LINK-WETH,LINK,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,18.0,0x63D2260c18B51dd6eeF5Ce2aD5Ed05A0c535B7da,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x2eFb44a1Fca0932eABFD4269Be4FC6B4EDB48F2a
64,USDC-USDT,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,6.0,0xb89a6b6AADA6CF0a5c5357dbaA404c32D1be4289,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,6.0,0xEaB52C4eFBbB54505EB3FC804A29Dcf263668965
65,WETH-UNI,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xbd19b165d02d168a3b1Ad091b6Fc6c81d179FB4a,UNI,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,18.0,0xb279613b4E20E936505B57bb90b7e5f81A407cE4
66,USDC-DAI,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,6.0,0x3E442a5cE73adf354A6fac822B19385d0cE47021,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,18.0,0x7ECE69b19a818A210cDE25794b04339F104BA005
67,DAI-USDT,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,18.0,0x1FD35738c31D075d65A848F79ab693073622C53f,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,6.0,0x25f0cB30b64D48c70C5c2097e1947BCbcc95EDc0
68,IMX-WETH,IMX,0x60bB3D364B765C497C8cE50AE0Ae3f0882c5bD05,18.0,0xD975dd3C2BF28Ecd14034292D040C9F2dfa42534,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x64427F9C617604eaC5e1aCC2261B59B58beCCf4d
69,IMX-QUICK,IMX,0x60bB3D364B765C497C8cE50AE0Ae3f0882c5bD05,18.0,0xE9bFA1D69cc430254bb860a1A0F4A80F7bF81321,QUICK,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,18.0,0x27d6d1721348689f48B49643138c4AE96461b7Fe
70,polyBUNNY-No Supply,polyBUNNY,0x4C16f69302CcB511c5Fac682c7626B9eF0Dc126a,18.0,0xdcb6a30233Ea7e448cC633A6472caa609F9eA29e,No Supply,Not Initialized,18.0,0xd1bccE93Ba37a4bd0f4B3B32E2b8A476F4e840EB
71,WETH-DPI,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xC88dbf011F16267A33efAA730a00dE23Cb520b51,DPI,0x85955046DF4668e1DD369D2DE9f3AEB98DD2A369,18.0,0x47351BeF96882cDFf66c9426d62b27DF3b840bBB
72,WETH-MVI,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x43Eb908841d9C9D9bb499d5095c783531FA2Efa8,MVI,0xfe712251173A2cd5F5bE2B46Bb528328EA3565E1,18.0,0xd74A7CcF20BF934393b29A6db14a120B5dD0802B
73,WETH-PNT,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x18AC1c8864769565e56561bFD5be3CC803450a31,PNT,0xB6bcae6468760bc0CDFb9C8ef4Ee75C9dd23e1Ed,18.0,0x7039273a443043EE8EFC59dD96ce66E0047De3E0
74,WBTC-pBTC,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,8.0,0x9E1d98E5aC1155801Ce86A4A946CD3a098f36334,pBTC,0xd7ecf95Cf7eF5256990BeAf4ac895cD9e64cb947,18.0,0x40574e6C3ee57bb589b4C0aD3636262f4D3d449B
75,WETH-IDLE,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xc56D78Bd63D497F690f7Ad66946fDD873798ef75,IDLE,0xC25351811983818c9Fe6D8c580531819c8ADe90f,18.0,0xCf33eF2b32fE45F1a4CB5121Ec1550F6D9366Bed
76,WMATIC-WCRO,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,18.0,0x0Eb2934ddE87033FD33Da4Ea54821BB88AD05312,WCRO,0xf2D8124b8F9267DaD61351c7aD252362880C6638,18.0,0x5f046b188b2Aa168286b3e91A169B78567f4dDd1
77,DATA-WETH,DATA,0x1D607Faa0A51518a7728580C238d912747e71F7a,18.0,0xF0A546164a3D070BF0e6775709dAB43605A98A9F,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x360b3e8791d09616E8948ee2d4Ca3aE942D83842
78,WETH-gOHM,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xB3e6Fae61fa928D29310c0c5Ea2849BB6BEc08d7,gOHM,0xd8cA34fd379d9ca3C6Ee3b3905678320F5b45195,18.0,0x6E64428744cC96Add02524550CB16dF6878D1224
79,ETH2x-FLI-P-WETH,ETH2x-FLI-P,0x3Ad707dA309f3845cd602059901E39C4dcd66473,18.0,0x007e6db55CfDB3fE746bDC256b82030C5Aa0665A,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x038164Db95Db171D600a010B1905Ae4F6A0a5792
80,WMATIC-WETH,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,18.0,0xC42dc5EAbE1a9919320977d10564CB08E84bf0E0,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x6d24195060e20C2d717408B8dEcCA487B945c78b
81,WMATIC-USDC,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,18.0,0xda0c5488ef2298A59fA771575b8Ba2BAf26A02AE,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,6.0,0x309A9E0ffAd46eEE0D9aBa0214f5982d78d85ba0
82,WMATIC-USDT,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,18.0,0x79c405fBb4014638942D6a45B56Ce27D75668D97,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,6.0,0xed618C29ABc8fa6eE05b33051B3cdB4A1Efb7924
83,WETH-SX,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xFA13767f84b51978D83DFFdED1670f6E145450e9,SX,0x840195888Db4D6A99ED9F73FcD3B225Bb3cB1A79,18.0,0xe25F00D4C611c939db6F2A2B6dBDe2326e898D31
84,No Supply-No Supply,No Supply,Not Initialized,18.0,0xc9e2632A214db880f4dc23933461E435f46483cd,No Supply,Not Initialized,6.0,0x187BFc8ad68a53b067cb761f18c1937F95A96Ed0
85,cxADA-cxETH,cxADA,0x64875Aaa68d1d5521666C67d692Ee0B926b08b2F,18.0,0xDba98285B925E6fDeA7a3B062e01E2d26C39E9d4,cxETH,0xfe4546feFe124F30788c4Cc1BB9AA6907A7987F9,18.0,0x2f71f891Bf3D7973081256f140b89d9aAb2fE518
86,cxDOGE-cxETH,cxDOGE,0x9Bd9aD490dD3a52f096D229af4483b94D63BE618,18.0,0x3A3A5167c8a9407409E3BE4c96DfA81C1d4E6992,cxETH,0xfe4546feFe124F30788c4Cc1BB9AA6907A7987F9,18.0,0xEe851D0F29C66d654F71fff367AC1f94725DA2D5
87,WETH-cxETH,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xE45A1eCe1a701DcE15a6cE31467BeaBF018780bB,cxETH,0xfe4546feFe124F30788c4Cc1BB9AA6907A7987F9,18.0,0x0b086D9084f3cCE5d2cF2c2B8AA868b342D48cbC
88,WMATIC-stMATIC,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,18.0,0xb5c8AA43064670ac5E19823C2909b598B2b33baa,stMATIC,0x3A58a54C066FdC0f2D55FC9C89F0415C92eBf3C4,18.0,0x2538B815D175B13A3D4a7D9dd726BA3aBc0805f8
